onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
2.3	2.5	Foil
5.3	1	RpMiss
9.6	1	RpFA
13.9	1.5	RpFA
18.7	1	RpHit
24.3	1.5	Miss
27.3	1	RpHit
31.6	1.5	RpFA
36.4	1	RpHit
40.7	1.5	RpMiss
46.8	0.6	Hit
51.1	1	FA
54.1	1	RpHit
60.2	0.8	Miss
65	2.4	FA
69.3	0.6	FA
73.6	0.8	Hit
76.6	1	RpCR
80.9	1	RpHit
87	2.5	Foil
91.3	1.1	Hit
94.3	1.5	RpHit
100.4	0.7	Hit
103.4	1	RpFA
109	1.4	Hit
113.8	0.7	Hit
116.8	1.5	RpFA
123.4	1.7	FA
127.7	2.5	Foil
132.5	0.5	CR
136.8	0.8	FA
139.8	1	RpHit
144.1	1.5	RpFA
148.9	1.5	RpMiss
153.7	1.5	RpMiss
158.5	1	RpHit
162.8	1.5	RpFA
167.6	1	RpCR
173.2	2.5	Foil
176.2	1	RpMiss
180.5	1.5	RpMiss
185.3	1.5	RpHit
191.4	2.5	Foil
195.7	1.3	Hit
200	2	FA
204.8	1.1	Miss
209.6	0.6	Miss
213.9	1.3	Hit
218.2	0.8	FA
223	0.5	CR
226	1	RpMiss
231.6	1	Miss
236.4	1.6	Miss
241.2	0.7	Hit
245.5	1.4	Miss
248.5	1.5	RpFA
253.3	1.5	RpMiss
258.1	1.5	RpCR
264.2	2.5	Foil
268.5	1.7	FA
271.5	1	RpFA
277.1	1.8	CR
281.9	2.5	Foil
286.7	2.5	Foil
291.5	1.4	FA
295.8	2.5	Foil
298.8	1.5	RpFA
303.6	1.5	RpHit
310.2	1.1	Miss
313.2	1.5	RpFA
319.3	1.9	FA
322.3	1	RpMiss
326.6	1	RpCR
332.2	1.4	FA
335.2	1	RpCR
340.8	1.5	Miss
345.6	0.9	CR
348.6	1.5	RpFA
355.2	0.6	CR
360	1.2	Hit
363	1.5	RpFA
367.8	1	RpCR
373.4	2.5	Foil
378.2	2.5	Foil
382.5	1	FA
386.8	2.5	Foil
391.6	2.5	Foil
394.6	1.5	RpCR
399.4	1	RpHit
405	0.8	FA
409.8	2.5	Foil
414.1	1.7	CR
418.4	0.7	Hit
423.2	0.5	CR
