onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
0.5	1.5	RpCR
5.3	1.5	RpMiss
11.9	2.5	Foil
16.2	2.5	Foil
20.5	1.1	CR
23.5	1	RpCR
27.8	1	RpHit
33.9	2.5	Foil
36.9	1.5	RpMiss
41.7	1	RpFA
46	1	RpCR
50.3	1	RpFA
54.6	1	RpHit
60.7	0.5	Miss
63.7	1	RpHit
68	1	RpFA
73.6	0.6	Hit
78.4	1.3	CR
82.7	1.2	Hit
87.5	1	FA
92.3	1.3	Miss
97.1	1	FA
101.9	0.4	CR
106.7	1.3	FA
109.7	1.5	RpFA
114.5	1.5	RpFA
120.6	1	Hit
123.6	1	RpCR
129.2	0.5	FA
133.5	0.6	FA
137.8	2.5	Foil
142.6	0.3	CR
147.4	2.5	Foil
150.4	1	RpMiss
154.7	1	RpHit
160.8	2.5	Foil
163.8	1	RpCR
169.4	1.2	Miss
173.7	0.6	Hit
176.7	1	RpHit
182.8	0.4	CR
185.8	1.5	RpMiss
190.6	1.5	RpFA
195.4	1.5	RpFA
200.2	1	RpMiss
206.3	0.5	Miss
210.6	1.1	FA
214.9	1.1	FA
217.9	1.5	RpCR
222.7	1	RpCR
227	1.5	RpMiss
233.1	0.7	Hit
237.4	1.1	CR
242.2	0.4	CR
245.2	1	RpHit
249.5	1	RpCR
255.1	1.1	Miss
259.9	2.5	Foil
264.7	2.5	Foil
269.5	2.5	Foil
272.5	1	RpCR
276.8	1	RpCR
282.9	0.3	Miss
285.9	1	RpHit
292	2.5	Foil
295	1.5	RpMiss
301.1	0.5	Hit
305.9	1.1	CR
310.7	2.5	Foil
315.5	0.4	Miss
318.5	1	RpMiss
322.8	1	RpCR
328.9	0.4	CR
333.7	0.8	CR
338	1.3	Miss
342.3	1.1	Hit
345.3	1	RpHit
349.6	1.5	RpHit
354.4	1.5	RpFA
359.2	1.5	RpHit
365.3	0.6	Hit
368.3	1	RpHit
372.6	1	RpCR
378.7	0.4	CR
381.7	1.5	RpMiss
387.8	0.5	Hit
392.6	0.6	CR
397.4	2.5	Foil
402.2	1.1	Miss
407	0.7	Hit
411.3	0.5	FA
416.1	1.1	Hit
420.9	2.5	Foil
425.7	2.5	Foil
