onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
0.5	1.5	RpMiss
7.1	2.5	Foil
10.1	1	RpCR
15.7	2.5	Foil
20.5	0.5	Miss
24.8	2.5	Foil
29.6	0.4	CR
32.6	1	RpCR
36.9	1.5	RpMiss
41.7	1	RpHit
47.8	2.5	Foil
52.6	0.4	CR
55.6	1.5	RpMiss
61.7	0.9	Hit
64.7	1.5	RpMiss
71.3	2.5	Foil
76.1	0.3	Miss
79.1	1	RpFA
83.4	1.5	RpFA
88.2	1.5	RpMiss
94.8	0.3	Miss
99.6	1.1	FA
103.9	0.6	FA
106.9	1	RpFA
113	2.5	Foil
117.3	2.5	Foil
122.1	0.4	Miss
125.1	1	RpCR
129.4	1	RpHit
133.7	1.5	RpMiss
138.5	1.5	RpFA
145.1	0.6	Miss
148.1	1	RpFA
152.4	1	RpMiss
156.7	1	RpHit
162.8	0.7	FA
167.6	1.4	FA
171.9	2.5	Foil
176.2	1	Hit
181	0.5	CR
185.3	1	Hit
190.1	0.5	Miss
194.4	0.6	FA
199.2	2.5	Foil
202.2	1.5	RpCR
208.3	0.9	Miss
211.3	1.5	RpCR
216.1	1.5	RpMiss
222.2	0.7	CR
225.2	1	RpCR
230.8	0.6	CR
233.8	1	RpFA
238.1	1.5	RpCR
242.9	1	RpHit
248.5	2.5	Foil
253.3	0.7	FA
256.3	1.5	RpMiss
262.4	1	Hit
265.4	1.5	RpHit
272	0.6	Miss
275	1	RpMiss
281.1	0.3	CR
285.9	0.5	Hit
288.9	1	RpMiss
294.5	1.4	CR
298.8	2.5	Foil
301.8	1	RpHit
307.4	1.1	Miss
312.2	0.4	Miss
315.2	1	RpMiss
320.8	0.7	Hit
323.8	1	RpFA
329.4	0.9	Miss
332.4	1.5	RpFA
337.2	1.5	RpCR
342	1	RpCR
346.3	1	RpMiss
351.9	0.9	FA
354.9	1.5	RpCR
359.7	1.5	RpMiss
365.8	0.9	Miss
370.1	1	Miss
374.9	2.5	Foil
379.7	1.9	FA
382.7	1.5	RpCR
387.5	1	RpFA
393.1	0.7	CR
397.9	0.5	CR
402.2	0.8	CR
407	1.4	FA
411.3	0.5	CR
416.1	1	Miss
420.9	2.5	Foil
425.7	2.5	Foil
