onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
2.4	2.4	Foil
6.7	2.4	Foil
11	2.4	Foil
14	1.5	RpMiss
18.8	1	RpMiss
23.1	1	RpFA
27.4	1.5	RpFA
34	1	Miss
36.9	1.1	RpCR
43.1	0.9	FA
47.4	0.9	FA
50.4	1.5	RpCR
57	0.6	CR
60	1.5	RpFA
64.8	1.5	RpHit
69.6	1	RpMiss
75.2	1	Miss
78.2	1	RpMiss
84.2	0.7	Hit
88.6	0.7	Miss
91.6	1.5	RpFA
97.7	0.8	Miss
100.7	1.5	RpMiss
106.7	1.1	CR
111.1	0.7	FA
115.4	0.8	FA
118.4	1.5	RpMiss
124.5	2.4	Foil
127.5	1.5	RpMiss
132.3	1	RpMiss
138.4	2.4	Foil
141.4	1.5	RpCR
146.2	1	RpHit
152.3	2.4	Foil
157.1	0.7	Miss
161.4	0.8	CR
165.7	1	Hit
168.7	1.5	RpHit
175.3	0.7	Miss
179.6	2.4	Foil
184.4	0.7	Miss
188.7	0.5	Miss
191.7	1	RpMiss
197.8	2.4	Foil
200.8	1.5	RpMiss
205.6	1.5	RpHit
210.4	1	RpHit
214.7	1	RpCR
219	1.5	RpFA
225.5	2.1	Hit
230.4	2.4	Foil
235.2	0.5	CR
239.5	2.4	Foil
243.8	2.4	Foil
248.1	0.9	Miss
251.1	1	RpHit
257.2	1	Miss
262	1	Hit
266.3	0.9	Hit
270.6	1.7	Hit
274.9	1	FA
279.2	2.4	Foil
282.2	1	RpHit
286.5	1	RpCR
290.8	1.5	RpMiss
295.6	1.5	RpFA
301.7	2.1	Hit
304.7	1.5	RpFA
311.3	0.7	Miss
314.3	1	RpMiss
319.9	2.4	Foil
324.2	0.7	FA
327.2	1	RpMiss
331.5	1.5	RpCR
336.3	1.5	RpFA
342.9	0.8	CR
345.9	1	RpCR
351.5	0.7	FA
354.5	1.5	RpCR
359.3	1	RpCR
365.4	0.5	CR
369.7	0.5	Miss
374	0.7	CR
377	1.5	RpFA
383.1	0.6	Miss
387.4	1.8	CR
391.7	0.6	FA
396	0.8	FA
399	1	RpCR
403.3	1.5	RpFA
409.4	2.4	Foil
414.2	0.5	CR
419	0.7	CR
423.3	1.5	FA
