onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
2.3	2.5	Foil
5.3	1	RpFA
11.4	2.5	Foil
14.4	1	RpFA
18.7	1.5	RpHit
25.3	0.6	FA
28.3	1	RpMiss
34.4	0.8	FA
37.4	1	RpFA
41.7	1.5	RpCR
48.3	2.5	Foil
51.3	1	RpCR
55.6	1.5	RpMiss
61.7	2.5	Foil
64.7	1	RpFA
69	1	RpMiss
75.1	0.5	Hit
79.9	2.5	Foil
84.2	0.9	Miss
88.5	0.5	Miss
93.3	0.3	FA
97.6	0.7	CR
100.6	1.5	RpFA
107.2	0.2	CR
112	0.2	Miss
115	1.5	RpFA
121.6	0.8	FA
124.6	1.5	RpFA
129.4	1	RpCR
135	1.2	FA
138	1	RpCR
143.6	1.3	FA
148.4	0.2	CR
152.7	2.5	Foil
157	0.6	FA
161.3	2.5	Foil
164.3	1	RpCR
170.4	2.5	Foil
174.7	2.5	Foil
179	2.5	Foil
183.8	0.4	CR
186.8	1	RpMiss
192.9	0.1	CR
195.9	1	RpHit
200.2	1.5	RpMiss
206.3	0.5	Miss
209.3	1.5	RpCR
215.4	1.1	Hit
218.4	1.5	RpFA
223.2	1.5	RpHit
228	1	RpCR
232.3	1	RpMiss
237.9	0.6	FA
242.7	0.7	Hit
247.5	0.4	CR
251.8	0.3	Miss
256.6	0.1	Miss
259.6	1	RpMiss
265.2	0.9	CR
270	2.5	Foil
273	1.5	RpCR
279.1	0.4	Miss
282.1	1.5	RpHit
286.9	1.5	RpMiss
293	0.7	CR
296	1.5	RpHit
300.8	1	RpCR
306.9	0.3	Miss
309.9	1	RpHit
314.2	1.5	RpMiss
319	1.5	RpMiss
323.8	1.5	RpHit
328.6	1	RpFA
334.7	0.4	Miss
339.5	0.8	Hit
342.5	1	RpMiss
346.8	1	RpMiss
352.9	1.2	Hit
357.7	0.5	CR
362	0.7	Miss
366.3	0.5	Hit
369.3	1.5	RpCR
375.9	0.4	Miss
380.7	0.9	Hit
385.5	0.6	FA
389.8	2.5	Foil
392.8	1	RpFA
397.1	1.5	RpMiss
403.2	0.5	Miss
408	2.5	Foil
412.8	0.6	FA
417.6	0.7	Miss
422.4	2.5	Foil
426.7	1	CR
