onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
0.5	1.5	RpHit
5.3	1.5	RpCR
10.1	1.5	RpCR
14.9	1	RpCR
21	0.6	Hit
25.3	0.9	CR
28.3	1	RpHit
34.4	2.5	Foil
39.2	2.5	Foil
42.2	1.5	RpCR
48.3	0.6	Hit
51.3	1	RpMiss
55.6	1	RpFA
59.9	1	RpMiss
65.5	1.1	CR
70.3	0.4	CR
75.1	0.4	FA
79.4	0.4	Miss
82.4	1	RpMiss
86.7	1	RpCR
91	1.5	RpCR
97.1	0.7	CR
100.1	1	RpCR
105.7	0.9	Miss
110	0.6	CR
113	1	RpHit
117.3	1.5	RpMiss
123.9	2.5	Foil
126.9	1.5	RpMiss
131.7	1.5	RpHit
137.8	1.1	Miss
142.6	0.7	CR
147.4	0.4	Miss
150.4	1.5	RpCR
157	0.9	CR
161.3	2.5	Foil
166.1	2.5	Foil
170.4	1	Hit
175.2	0.6	Miss
180	2.5	Foil
183	1	RpFA
189.1	0.7	Hit
192.1	1	RpHit
196.4	1	RpFA
200.7	1.6	RpFA
206.8	0.6	CR
211.1	1.4	Hit
215.9	0.6	FA
220.2	0.5	FA
224.5	2.5	Foil
227.5	1	RpMiss
231.8	1	RpMiss
237.9	1.2	FA
240.9	1.5	RpFA
245.7	1.6	RpMiss
251.8	0.5	Miss
256.1	2.5	Foil
259.1	1.5	RpFA
265.2	2.5	Foil
268.2	1.6	RpCR
273	1	RpFA
278.6	0.4	FA
282.9	0.4	Miss
287.2	0.5	CR
290.2	1.5	RpHit
296.3	0.5	FA
301.1	0.1	Miss
304.1	1.5	RpFA
310.7	0.8	Hit
313.7	1	RpCR
318	1.6	RpMiss
324.1	0.9	FA
328.9	0.6	FA
333.7	0.4	CR
338.5	1.1	Miss
341.5	1.6	RpMiss
346.3	1.5	RpMiss
351.1	1.5	RpCR
355.9	1	RpFA
360.2	1	RpMiss
364.5	1.1	RpHit
370.6	2.5	Foil
373.6	1	RpHit
379.2	0.8	Miss
383.5	0.9	Hit
388.3	2.5	Foil
392.6	0.6	Hit
397.4	0.3	Miss
402.2	0.6	Miss
406.5	0.8	CR
411.3	1	FA
415.6	2.5	Foil
419.9	2.5	Foil
424.2	2.5	Foil
