onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
0.5	1	RpMiss
4.8	1	RpCR
9.1	1	RpCR
13.4	1.5	RpFA
18.2	1.5	RpCR
24.8	0.5	CR
29.6	1	CR
33.9	0.5	FA
38.2	2.5	Foil
41.2	1.5	RpMiss
46	1.5	RpCR
50.8	1.5	RpCR
56.9	0.9	Miss
61.7	0.8	Miss
66	1.1	CR
69	1	RpHit
74.6	1.4	CR
77.6	1.5	RpMiss
83.7	2.5	Foil
86.7	1.5	RpFA
91.5	1.5	RpMiss
98.1	2.5	Foil
101.1	1	RpFA
106.7	0.6	CR
109.7	1	RpHit
114	1.5	RpCR
118.8	1	RpMiss
124.4	1	Hit
127.4	1	RpHit
133.5	0.7	Miss
137.8	1.1	Miss
142.1	0.7	FA
146.9	0.5	Miss
149.9	1.5	RpMiss
156.5	0.9	FA
159.5	1	RpCR
165.1	0.7	Hit
169.4	0.7	CR
173.7	2.5	Foil
176.7	1	RpFA
182.3	0.9	Hit
186.6	2.5	Foil
191.4	2.5	Foil
194.4	1	RpMiss
198.7	1	RpCR
204.8	0.6	Miss
207.8	1	RpHit
213.9	0.7	CR
218.7	1.3	CR
221.7	1.5	RpCR
226.5	1.5	RpHit
233.1	0.8	FA
236.1	1	RpHit
241.7	1.1	CR
246.5	1.1	Hit
250.8	0.8	Miss
255.1	1	Hit
259.4	2.5	Foil
263.7	0.9	Hit
268	2.5	Foil
271	1	RpFA
275.3	1	RpHit
281.4	2.5	Foil
284.4	1	RpFA
288.7	1	RpFA
294.3	0.7	Hit
297.3	1.5	RpMiss
303.9	1.1	FA
308.7	0.6	FA
313.5	2.5	Foil
318.3	1.1	Miss
321.3	1.5	RpHit
327.9	0.8	FA
330.9	1	RpMiss
335.2	1.5	RpMiss
341.8	1.4	Hit
344.8	1.5	RpMiss
349.6	1	RpMiss
355.7	0.8	Miss
358.7	1.5	RpCR
363.5	1.5	RpCR
370.1	2.5	Foil
374.9	2.5	Foil
379.2	0.6	CR
383.5	1.1	CR
387.8	1.3	Miss
390.8	1.5	RpFA
395.6	1.5	RpCR
402.2	0.6	Miss
406.5	0.8	Miss
410.8	1.6	FA
415.1	0.7	CR
419.4	2.5	Foil
424.2	2.5	Foil
