onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
0.5	1.5	RpCR
5.3	1	RpHit
10.9	2.5	Foil
13.9	1	RpMiss
18.2	1.5	RpMiss
24.3	1.7	Hit
27.3	1	RpHit
32.9	0.9	Miss
37.7	0.4	Miss
42.5	2.5	Foil
45.5	1	RpCR
49.8	1	RpCR
55.4	0.6	CR
58.4	1.6	RpCR
64.5	2.5	Foil
69.3	0.7	CR
72.3	1	RpCR
78	0.5	CR
82.2	0.6	Hit
87	2.5	Foil
91.8	0.4	CR
94.8	1	RpMiss
101	0.4	CR
103.9	1.6	RpHit
108.7	1.5	RpCR
113.5	1.5	RpMiss
118.3	1.5	RpHit
125	1.4	Hit
129.2	0.4	CR
134	0.3	Miss
137	1.5	RpHit
141.8	1	RpCR
148	2.4	Foil
152.2	0.4	Miss
157	0.6	Hit
160	1	RpMiss
164.3	1	RpHit
168.6	1.1	RpCR
174.7	0.6	Hit
179	1.4	Miss
183.3	0.6	Hit
188.1	0.4	CR
191.1	1.1	RpMiss
197.2	0.9	CR
200.2	1.1	RpFA
204.5	1.5	RpCR
210.6	1.3	Miss
213.6	1.6	RpCR
218.4	1.6	RpMiss
224.5	0.5	CR
227.5	1.5	RpHit
232.3	1.5	RpCR
239	0.5	Miss
241.9	1.1	RpHit
246.2	1.6	RpMiss
251	1	RpHit
257.1	1.4	FA
262	2.4	Foil
266.8	0.8	Miss
271	0.8	CR
274	1.5	RpFA
278.8	1	RpCR
285	0.3	Hit
289.3	0.9	CR
292.2	1.1	RpFA
297.8	1.7	Hit
302.1	2.5	Foil
306.4	0.5	Hit
309.4	1.6	RpCR
314.2	1.6	RpFA
319	1.1	RpCR
324.6	2.5	Foil
328.9	1.3	FA
333.8	0.4	CR
336.7	1.6	RpHit
341.5	1.1	RpFA
347.6	0.5	FA
350.6	1.5	RpHit
357.3	2.4	Foil
362.1	0.4	FA
366.3	0.7	CR
370.6	1.5	FA
375.4	0.4	CR
378.4	1.1	RpMiss
382.7	1.6	RpFA
388.8	2.5	Foil
393.6	0.8	Hit
397.9	0.4	Miss
402.3	0.4	FA
407.1	0.8	Hit
411.3	2.5	Foil
416.1	2.5	Foil
420.4	2.5	Foil
425.3	2.4	Foil
