onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
2.4	2.4	Foil
5.3	1.1	RpHit
9.6	1.5	RpMiss
15.7	2.5	Foil
18.7	1	RpMiss
23	1.6	RpFA
29.6	0.3	Miss
32.6	1.1	RpCR
36.9	1.5	RpHit
43	0.4	FA
46	1.1	RpCR
52.1	0.4	CR
55.1	1.1	RpCR
60.7	1.7	Hit
63.7	1.5	RpFA
68.5	1.1	RpFA
74.2	0.4	Miss
77.1	1.6	RpMiss
83.2	0.6	FA
88	1.1	FA
92.9	1.4	Hit
97.7	1.6	Miss
102.4	0.4	CR
105.4	1.5	RpHit
112	0.5	CR
115	1.1	RpCR
119.3	1.1	RpFA
123.6	1.1	RpMiss
127.9	1.5	RpMiss
134.5	2.5	Foil
137.5	1.6	RpHit
143.7	0.7	Miss
148.4	0.4	Miss
151.4	1.5	RpCR
158	1.3	Hit
162.9	1.4	Hit
165.8	1.6	RpCR
172.4	1.6	CR
177.2	1.8	FA
180.2	1.5	RpHit
185	1.6	RpCR
189.8	1.1	RpFA
194.1	1.1	RpMiss
200.2	1.5	Hit
204.5	1.3	CR
208.9	1.5	CR
211.8	1.1	RpHit
216.1	1.1	RpCR
221.7	1.4	CR
224.7	1.5	RpMiss
230.9	2.4	Foil
235.7	0.4	CR
238.6	1.1	RpCR
244.7	1.7	FA
249	0.6	Miss
253.9	2.4	Foil
258.7	0.3	CR
263.5	2.4	Foil
267.7	2.2	Hit
270.8	1	RpCR
275.1	1.5	RpFA
281.7	0.3	Miss
284.7	1.5	RpFA
291.2	0.4	CR
294.2	1	RpHit
298.5	1.1	RpHit
302.8	1.6	RpMiss
307.6	1.6	RpMiss
313.7	2.5	Foil
318	0.6	Hit
322.9	2.4	Foil
327.7	0.4	Miss
332	0.9	FA
334.9	1.1	RpCR
340.5	1.2	FA
344.9	2.4	Foil
349.2	1.2	Hit
354	0.3	CR
358.8	0.6	Miss
361.7	1.6	RpFA
366.5	1.6	RpMiss
371.3	1.1	RpHit
375.7	1	RpCR
381.8	2.4	Foil
386	2.5	Foil
390.4	0.7	Hit
395.2	0.4	CR
399.5	2.4	Foil
403.8	2.4	Foil
406.8	1.5	RpMiss
413.4	2.4	Foil
417.7	0.6	FA
422.5	0.3	Miss
427.3	0.3	Miss
