onset	duration	trial_type
sub-3408	sub-3408	NR
sub-3844	sub-3844	NR
sub-3970	sub-3970	NR
sub-3977	sub-3977	NR
sub-4077	sub-4077	NR
sub-4428	sub-4428	NR
sub-4580	sub-4580	NR
sub-4594	sub-4594	NR
sub-4633	sub-4633	NR
sub-4685	sub-4685	NR
sub-4729	sub-4729	NR
sub-4737	sub-4737	NR
sub-4739	sub-4739	NR
sub-4788	sub-4788	NR
sub-4902	sub-4902	NR
sub-5048	sub-5048	NR
sub-5071	sub-5071	NR
sub-5088	sub-5088	NR
sub-5104	sub-5104	NR
sub-5107	sub-5107	NR
sub-5215	sub-5215	NR
sub-5234	sub-5234	NR
sub-5239	sub-5239	NR
sub-5240	sub-5240	NR
sub-5242	sub-5242	NR
sub-5319	sub-5319	NR
sub-5339	sub-5339	NR
sub-5418	sub-5418	NR
sub-5419	sub-5419	NR
sub-5435	sub-5435	NR
sub-5436	sub-5436	NR
sub-5469	sub-5469	NR
sub-5472	sub-5472	NR
sub-5479	sub-5479	NR
sub-5480	sub-5480	NR
xsub-4191	xsub-4191	NR
xsub-4620	xsub-4620	NR
xsub-4722	xsub-4722	NR
xsub-5235	xsub-5235	NR
0.5	1	RpCR
4.8	1.5	RpHit
9.6	1.5	RpMiss
14.4	1.5	RpCR
21	0.8	CR
25.8	2.5	Foil
28.8	1	RpMiss
34.4	0.8	CR
37.4	1	RpCR
41.7	1	RpMiss
47.8	2.5	Foil
50.8	1	RpHit
55.1	1.5	RpFA
61.7	0.8	Hit
66.5	1.3	Miss
69.5	1.5	RpFA
75.6	2.5	Foil
78.6	1.5	RpCR
84.7	1.5	Miss
89	0.9	FA
93.8	1.4	CR
98.1	0.9	Miss
101.1	1.5	RpFA
107.2	1.6	Hit
111.5	1.4	FA
116.3	2.5	Foil
120.6	2.5	Foil
123.6	1	RpCR
127.9	1.5	RpHit
134	0.8	CR
138.8	2.5	Foil
143.6	1.4	CR
148.4	0.8	Hit
151.4	1	RpCR
157	1.1	FA
160	1	RpHit
164.3	1.5	RpCR
169.1	1	RpHit
173.4	1	RpFA
179	1.6	Hit
182	1	RpMiss
187.6	1.3	Hit
190.6	1	RpHit
194.9	1.5	RpMiss
199.7	1.5	RpHit
206.3	0.9	CR
210.6	2.5	Foil
215.4	1	Miss
219.7	1	CR
224	2.5	Foil
228.8	0.7	FA
231.8	1	RpCR
237.4	0.5	Miss
240.4	1	RpCR
246	0.9	Hit
250.8	0.9	CR
255.6	0.9	Hit
260.4	1.2	CR
263.4	1	RpHit
269.5	2.5	Foil
274.3	2.5	Foil
277.3	1	RpCR
282.9	0.7	Hit
285.9	1	RpCR
290.2	1.5	RpCR
295	1.5	RpCR
299.8	1	RpMiss
305.9	0.6	CR
308.9	1.5	RpCR
315	1.7	CR
319.3	0.7	Miss
322.3	1	RpCR
326.6	1	RpFA
332.7	1	CR
335.7	1.5	RpHit
342.3	1.2	CR
346.6	0.6	CR
349.6	1.5	RpHit
356.2	0.9	Hit
359.2	1.5	RpHit
365.3	0.7	CR
370.1	0.6	Hit
373.1	1.5	RpHit
379.7	2.5	Foil
384.5	1	FA
387.5	1	RpMiss
393.6	1.3	Hit
397.9	2.5	Foil
400.9	1	RpHit
406.5	0.8	Miss
411.3	2.5	Foil
416.1	0.8	Hit
420.4	0.8	Hit
425.2	2.5	Foil
